,工况1-1,工况1-2,工况1-3,工况1-4,工况1-5,工况1-6,工况2-1,工况2-2,工况2-3,工况2-4,工况2-5,工况2-6,工况3-1,工况3-2,工况3-3,工况3-4,工况3-5,工况3-6
267,91.067,91.512,92.249,99.428,108.58,118.33,114.28,114.28,114.91,121.83,130.69,140.18,160.73,159.97,160.39,166.75,175.28,184.41
268,90.993,91.37,92.074,99.089,108.1,117.72,114.21,114.13,114.73,121.49,130.2,139.55,160.66,159.82,160.21,166.41,174.78,183.78
269,90.949,91.284,91.968,98.885,107.8,117.34,114.16,114.05,114.63,121.28,129.9,139.17,160.61,159.73,160.1,166.21,174.48,183.39
270,90.933,91.255,91.932,98.817,107.71,117.22,114.15,114.02,114.59,121.22,129.8,139.05,160.59,159.7,160.07,166.14,174.38,183.27
271,90.949,91.284,91.968,98.885,107.8,117.34,114.16,114.05,114.63,121.28,129.9,139.17,160.61,159.73,160.1,166.21,174.48,183.39
272,90.993,91.37,92.074,99.089,108.1,117.72,114.21,114.13,114.73,121.49,130.2,139.55,160.66,159.82,160.21,166.41,174.78,183.78
273,91.067,91.512,92.249,99.428,108.58,118.33,114.28,114.28,114.91,121.83,130.69,140.18,160.73,159.97,160.39,166.75,175.28,184.41
274,91.169,91.71,92.495,99.9,109.26,119.2,114.38,114.48,115.16,122.3,131.38,141.05,160.84,160.17,160.64,167.23,175.97,185.3
275,91.3,91.964,92.809,100.51,110.14,120.31,114.51,114.73,115.47,122.9,132.26,142.18,160.97,160.43,160.96,167.84,176.87,186.44
276,91.459,92.274,93.192,101.25,111.2,121.66,114.67,115.04,115.86,123.64,133.34,143.55,161.13,160.74,161.35,168.58,177.95,187.83
277,91.647,92.639,93.643,102.12,112.46,123.26,114.86,115.41,116.31,124.51,134.6,145.17,161.32,161.11,161.81,169.46,179.24,189.47
278,91.863,93.059,94.162,103.12,113.91,125.1,115.08,115.83,116.83,125.51,136.06,147.03,161.54,161.54,162.33,170.47,180.71,191.35
279,92.106,93.533,94.749,104.25,115.54,127.19,115.32,116.31,117.42,126.64,137.71,149.14,161.79,162.02,162.93,171.61,182.37,193.48
280,92.377,94.06,95.401,105.51,117.37,129.51,115.59,116.84,118.08,127.9,139.55,151.48,162.06,162.56,163.59,172.88,184.23,195.86
281,92.676,94.64,96.119,106.9,119.37,132.07,115.89,117.42,118.8,129.28,141.57,154.07,162.37,163.15,164.32,174.27,186.27,198.47
282,93.001,95.272,96.901,108.42,121.56,134.87,116.22,118.06,119.59,130.79,143.78,156.9,162.7,163.79,165.11,175.79,188.5,201.33
283,93.352,95.956,97.747,110.05,123.94,137.91,116.57,118.75,120.44,132.42,146.17,159.96,163.05,164.48,165.97,177.44,190.9,204.41
284,93.729,96.69,98.655,111.81,126.49,141.17,116.95,119.48,121.35,134.18,148.74,163.25,163.44,165.23,166.89,179.2,193.49,207.73
285,94.131,97.473,99.624,113.69,129.21,144.67,117.35,120.27,122.32,136.05,151.48,166.77,163.84,166.02,167.87,181.09,196.25,211.28
286,94.559,98.305,100.65,115.69,132.11,148.38,117.78,121.11,123.36,138.04,154.39,170.51,164.28,166.87,168.92,183.09,199.19,215.06
287,95.01,99.183,101.74,117.8,135.17,152.32,118.24,121.99,124.45,140.14,157.47,174.48,164.74,167.76,170.02,185.2,202.29,219.05
